Connections,Num Followers,Internacional,lenght headline,Headline en Esp?,Tiene Summary?,calidad longitud,Calidad Headline,_ID,Tiene Projects?,Tiene Certif?,tiene Courses?,Tiene Volunteer?,Tiene Lastest Exp?,Cluster connections,Categoría School Name,Categoría Degree
777,775,1,18,1,1,0,1,1798,0,0,0,1,1,4,3,2
770,768,0,20,1,1,0,1,1803,0,0,0,0,1,4,3,2
770,768,0,89,1,0,0,1,1804,0,0,0,0,1,4,3,2
765,764,1,56,1,0,0,1,1808,0,1,0,0,1,4,3,2
828,833,1,40,1,0,0,1,1816,0,1,0,1,1,5,3,2
789,791,0,25,1,1,0,1,1818,0,0,0,0,1,4,3,2
757,753,1,81,1,0,0,1,1823,0,1,0,1,1,4,3,2
738,739,1,34,1,1,0,1,1832,0,1,0,0,1,4,3,2
776,779,1,32,1,0,0,1,1840,0,1,0,0,1,4,3,2
725,730,0,52,1,0,0,1,1847,0,1,0,0,1,4,3,2
1177,1485,1,40,1,1,0,1,1939,0,0,0,1,1,6,3,2
698,711,1,89,1,1,0,1,2178,0,0,0,0,1,4,3,2
300,299,0,72,1,1,0,1,2255,0,1,0,0,1,2,3,2
672,672,1,16,1,0,0,1,2269,0,1,0,0,1,4,3,2
996,1099,1,72,1,1,0,1,2294,0,1,0,1,1,5,3,2
382,388,1,3,1,0,0,1,2307,0,1,0,1,1,2,3,2
759,772,1,66,1,0,0,1,2325,0,0,0,1,1,4,3,2
938,937,1,42,1,1,0,1,2335,0,0,1,1,1,5,3,2
1095,1101,1,15,1,1,0,1,2341,0,0,1,1,1,6,3,2
753,752,0,23,1,1,0,1,2353,0,0,0,0,1,4,3,2
738,760,0,46,1,0,0,1,2354,0,0,0,0,1,4,3,2
706,721,1,56,1,1,0,1,2358,0,1,0,0,1,4,3,2
727,728,1,56,1,1,0,1,2366,0,1,0,0,1,4,3,2
612,725,1,47,1,1,0,1,2367,0,0,0,0,1,4,3,2
730,728,1,57,1,0,0,1,2376,0,0,0,0,1,4,3,2
704,709,1,66,1,1,0,1,2386,0,1,0,0,1,4,3,2
792,916,0,67,1,1,0,1,2393,0,1,0,0,1,4,3,2
692,699,1,51,1,1,0,1,2404,0,1,0,0,1,4,3,2
697,698,1,75,1,0,0,1,2425,0,1,0,0,1,4,3,2
683,685,1,31,1,1,0,1,2437,0,1,0,1,1,4,3,2
698,698,1,9,1,0,0,1,2445,0,1,0,0,1,4,3,2
394,393,0,53,1,0,0,1,2453,0,0,0,0,1,2,3,2
368,368,1,44,1,1,0,1,2454,0,0,0,0,1,2,3,2
351,352,1,26,1,0,0,1,2457,0,0,0,0,1,2,3,2
328,335,1,38,1,1,0,1,2465,0,0,0,0,1,2,3,2
332,333,0,34,1,0,0,1,2470,0,1,0,0,1,2,3,2
337,339,1,87,1,1,0,1,2477,0,1,0,0,1,2,3,2
331,331,0,2,1,0,0,1,2509,0,0,0,0,1,2,3,2
328,326,1,56,1,0,0,1,2513,0,0,0,0,1,2,3,2
327,331,1,32,1,0,0,1,2517,0,0,0,0,1,2,3,2
326,328,1,27,1,0,0,1,2538,0,1,0,1,1,2,3,2
400,441,0,81,1,1,0,1,2610,0,0,1,0,1,2,3,2
943,942,1,22,1,1,0,1,2649,0,0,1,0,1,5,3,2
933,940,0,67,1,1,0,1,2652,0,1,0,0,1,5,3,2
937,941,0,22,1,1,0,1,2653,0,0,0,1,1,5,3,2
931,930,0,46,1,1,0,1,2654,0,1,0,0,1,5,3,2
861,945,1,92,1,1,0,1,2655,0,1,1,0,1,5,3,2
957,966,0,62,1,1,0,1,2668,0,1,1,1,1,5,3,2
862,929,0,75,1,1,0,1,2673,0,1,1,1,1,5,3,2
901,929,0,64,1,1,0,1,2684,0,0,0,0,1,5,3,2
908,916,1,47,1,1,0,1,2688,0,0,1,0,1,5,3,2
885,890,0,46,1,1,0,1,2694,0,1,0,0,1,5,3,2
896,894,0,20,1,1,0,1,2705,0,0,0,1,1,5,3,2
873,875,1,45,1,1,0,1,2719,0,0,0,1,1,5,3,2
799,836,1,64,1,1,0,1,2742,0,1,1,0,1,4,3,2
304,304,1,37,1,1,0,1,2745,0,0,0,0,1,2,3,2
1200,1310,0,14,1,1,0,1,2763,0,1,0,1,1,6,3,2
1048,1063,0,70,1,1,0,1,2841,0,0,0,0,1,6,3,2
1049,1061,1,55,1,1,0,1,2845,0,1,0,0,1,6,3,2
1194,1186,1,39,1,1,0,1,2863,0,1,0,0,1,6,3,2
1048,1059,0,96,1,0,0,1,2866,0,1,0,0,1,6,3,2
1030,1033,1,33,1,0,0,1,2867,0,1,0,0,1,6,3,2
997,1003,1,59,1,0,0,1,2885,0,1,1,0,1,5,3,2
990,992,1,17,1,1,0,1,2887,0,1,1,0,1,5,3,2
983,974,1,76,1,1,0,1,2900,0,0,0,1,1,5,3,2
1251,1245,0,54,1,0,0,1,949,0,0,0,0,1,7,3,2
2222,2820,1,92,1,1,0,1,733,0,1,0,0,1,7,3,2
2810,2848,1,76,1,1,0,1,727,0,1,0,0,1,7,3,2
1264,1264,1,49,1,1,0,1,973,0,1,0,0,1,7,3,2
6742,7019,1,53,1,0,0,1,650,0,0,0,0,1,7,3,2
1274,1291,1,40,1,1,0,1,969,0,1,1,1,1,7,3,2
14037,16818,0,11,1,1,0,1,9,0,0,0,0,1,7,3,2
7119,7205,1,14,1,1,0,1,50,0,1,1,1,1,7,3,2
3729,3735,1,99,1,1,0,1,687,0,0,1,0,1,7,3,2
1250,1268,1,32,1,1,0,1,964,0,1,0,0,1,7,3,2
